Frage;Wahl_A;Wahl_B;Wahl_C;Wahl_D;Wahl_E;Antwort;Module;Language;Tags;Year;Answer Verfication;Expanded Date Info;Notes;Explanation;Entry ID;
When antagonizing neuromuscular block produced by pancuronium, the combination of simultaneously administered anticholinergic and anticholinesterase drugs that is most likely to produce bradycardia is;Atropine and edrophonium;Glycopyrrolate and edrophonium;Glycopyrrolate and neostigmine;Atropine and neostigmine;Glycopyrrolate and pyridostigmine;Glycopyrrolate and edrophonium;Pharmacology II;EN;"PDF Collection ""Until 2021""";2021;Unverified;Until 2021;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5572;
Indicates the correct location of the histamine receptors;H1 / gastric mucosa;H2 / gastric mucosa;H3 / gastric mucosa;H4 / gastric mucosa;H1, H2, H3 / gastric mucosa;H2 / gastric mucosa;Pharmacology II;EN;Set F;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5573;
Which of the following antipsychotics has the highest risk of seizure induction?;Haloperidol;Clozapine;Risperidone;Fluphenazine;Olanzapine;Haloperidol;Pharmacology II;EN;Set B;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5574;
Which of the following drugs has fewer side effects on the vegetative nervous system than most antipsychotic drugs, but is more likely to cause extrapyramidal toxicity;Fluphenazine;Lithium;Thioridazine;Haloperidol;Levodopa;Haloperidol;Pharmacology II;EN;Set E;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5575;
Which of the following antipsychotics has the highest risk of seizure induction?;Haloperidol;Clozapine;Risperidone;Fluphenazine;Olanzapine;Haloperidol;Pharmacology II;EN;"PDF Collection ""Until 2021""";2021;Unverified;Until 2021;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5576;
Which of the following inhalation anesthetics has a greater sensitizing action on catecholamines? (x3);Isoflurane;Desflurane;Sevoflurane;Halothane;Enflurane;Halothane;Pharmacology II;EN;Set B;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5577;
Which of the following inhaled anesthetics most metabolized by hepatic cytochrome P450?;Desflurane;Sevoflurane;Enflurane;Isoflurane;Halothane;Halothane;Pharmacology II;EN;Set E;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5578;
Which of the following inhalation anesthetics has a greater sensitizing action on catecholamines? (x3);Isoflurane;Desflurane;Sevoflurane;Halothane;Enflurane;Halothane;Pharmacology II;EN;"PDF Collection ""Until 2021""";2021;Unverified;Until 2021;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5579;
What advantage does montelukast have over other leukotriene-pathway drugs in terms of toxicity?;Has a lower risk for hyperkalemia;Has a lower risk of nephrotoxicity;Has a lower risk of cardiotoxicity;Has a lower risk of hepatotoxicity;Does not carry a risk for neuropsychiatric adverse effects;Has a lower risk of hepatotoxicity;Pharmacology II;EN;Set B;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5580;
What advantage does montelukast have over other leukotriene-pathway drugs in terms of toxicity?;Has a lower risk for hyperkalemia;Has a lower risk of nephrotoxicity;Has a lower risk of cardiotoxicity;Has a lower risk of hepatotoxicity;Does not carry a risk for neuropsychiatric adverse effects;Has a lower risk of hepatotoxicity;Pharmacology II;EN;"PDF Collection ""Until 2021""";2021;Unverified;Until 2021;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5581;
Which of the following is the indication of Cetirizine?;Peptic ulcer;Hay fever;Alzheimer's disease;Acute migraine attack;Neuropathic pain;Hay fever;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5582;
Which of the following is not a relevant use of LOSARTAN? :;Hemolytic anemia;Heart failure;Diabetic nephropathy;Stable angina;Mild and moderate hypertension;Hemolytic anemia;Pharmacology II;EN;Set D;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5583;
Protamine sulphate is used to neutralize toxicity from:;Physostigmine;Iron;Atropine;Heparin;Copper;Heparin;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5584;
Which of the following parenteral anticoagulants can cause thrombocytopenia?;Idraparinux;Heparin;Argatroban;Dalteparin;Bivalirudin;Heparin;Pharmacology II;EN;Set F;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5585;
Which of the following diuretics is the most appropriate to use in diabetes insipidus?;Acetazolamide;Hydrochlorothiazide;Triamterene;Furosemide;Mannitol;Hydrochlorothiazide;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5586;
Which of the following diuretics is the most appropriate to use in diabetes insipidus?;Acetazolamide;Furosemide;Mannitol;Triamterene;Hydrochlorothiazide;Hydrochlorothiazide;Pharmacology II;EN;Set E;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5587;
Which of the topical GLUCOCORTICOID formulations is most effective in treating plaque psoriasis?;Clobetasol propionate;Fluocinolone acetonide;Hydrocortisone;Betamethasone valerate;Methyl prednisolone acetate;Hydrocortisone;Pharmacology II;EN;Set D;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5588;
All of the below are side effects secondary to treatment with topical GLUCOCORTICOIDS except one:;Telangiectasias;Perioral dermatitis;Hyperglycaemia;Purple;Skin atrophy of continuous intravenous treatment;Hyperglycaemia;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5589;
All those indicated below are side effects secondary to treatment with topical GLUCOCORTICOIDS except one, indicate which:;Perioral dermatitis;Skin atrophy;Telangiectasias;Hyperglycaemia;Purpura;Hyperglycaemia;Pharmacology II;EN;Set E;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5590;
 Indicate which of the following side effects may be associated with the use of Spironolactone: Choose an alternative;Uricemia;Ototoxicity;Gynecomastia;Hyperkalemia;Hypocalcemia;Hyperkalemia;Pharmacology II;EN;Set D;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5591;
Ergot's alkaloids are NOT used in the;Prevention and treatment of postpartum haemorrhage;The management of Parkinson's disease;Treatment of hyperprolactinemic conditions;Treatment of migraine;Hypertension;Hypertension;Pharmacology II;EN;Set B;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5592;
Ergot's alkaloids are NOT used in the;Prevention and treatment of postpartum haemorrhage;The management of Parkinson's disease;Treatment of hyperprolactinemic conditions;Treatment of migraine;Hypertension;Hypertension;Pharmacology II;EN;"PDF Collection ""Until 2021""";2021;Unverified;Until 2021;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5593;
The α-1 subunits of GABA-A receptors are involved in;Anxiolytic effect;Withdrawal syndrome;Muscle relaxant effect;Analgesic effect;Hypnotic effect;Hypnotic effect;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5594;
Indicate which of the following is NOT a side effect of Salmeterol:;Bronchial hyperreactivity;Hypoglycaemia;Hypokalaemia;Palpitations;Tremor;Hypoglycaemia;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5595;
Which of the following are side effects of thiazide diuretics?;Hyperkalemia, metabolic acidosis, increased plasma urea nitrogen;Hyperkalemia, alkalosis, nausea/vomiting;Hypokalemia, hyperglycemia, hyperlipidemia;Hypermagnesaemia, hypercalcemia;Hypokalemia, ototoxicity, hypercalcemia;Hypokalemia, hyperglycemia, hyperlipidemia;Pharmacology II;EN;Set E;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5596;
Which of the following side effects of carbamazepine are antagonized by lithium?;Hypocalcemia;Ataxia;Haematological toxicity;Hyponatremia;Dermatological toxicity;Hyponatremia;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5597;
Which of the following side effects of carbamazepine are antagonized by lithium? :;Dermatological toxicity;Haematological toxicity;Ataxia;Hypocalcemia;Hyponatremia;Hyponatremia;Pharmacology II;EN;Set D;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5598;
Which  of the following side effects of carbamazepine are antagonized by lithium?;Ataxia;Haematological toxicity;Hyponatremia;Hypocalcemia;Dermatological toxicity;Hyponatremia;Pharmacology II;EN;Set E;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5599;
Which one of the following endocrine-metabolic modifications are induced by beta-stimulants?;Hypocalcemia;Hyperkalaemia;Hypopotassaemia;Hypernatremia;Hyponatremia;Hypopotassaemia;Pharmacology II;EN;Set B;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5600;
Which one of the following endocrine-metabolic modifications are induced by beta-stimulants?;Hypocalcemia;Hyperkalaemia;Hypopotassaemia;Hypernatremia;Hyponatremia;Hypopotassaemia;Pharmacology II;EN;"PDF Collection ""Until 2021""";2021;Unverified;Until 2021;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5601;
Indicate which of the following is a contraindication to the use of the LEVOSIMENDAN in heart failure :;Hyperthyroidism;Hypotension;Diabetes;Hyperkalemia;Hypercholesterolemia;Hypotension;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5602;
Which of the potential side effects of curar drugs can be reduced by the treatment with antihistamines?;Hyperkalaemia;Muscle pain;Increase in endogastric pressure;Increase in ocular pressure;Hypotension;Hypotension;Pharmacology II;EN;Set B;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5603;
Which of the following is the most common adverse reaction observed after intravenous administration of amiodarone?;Seizures;Vomit;Hematuria;Bradypnea;Hypotension;Hypotension;Pharmacology II;EN;Set E;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5604;
Which of the potential side effects of curare drugs can be reduced by the treatment with antihistamines?;Hyperkalaemia;Muscle pain;Increase in endogastric pressure;Increase in ocular pressure;Hypotension;Hypotension;Pharmacology II;EN;"PDF Collection ""Until 2021""";2021;Unverified;Until 2021;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5605;
Which of the following effects represents the classic triad of the Bezold-Jarisch reflex, activated by serotonin-induced peripheral vasodilation?;Cyanosis, hypoesthesia, and bradycardia;Hypotension, bradycardia and bradypnea;Vomiting, diarrhea and syncope;Tachycardia, headache, and vomiting;Jingling, hearing loss and vomiting;Hypotension, bradycardia and bradypnea;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5606;
Which of the following effects represents the classic Bezold Jarisch reflex triad, activated by serotonin-induced peripheral vasodilation?;Tinnitus, hearing loss and vomiting;Vomiting, diarrhea and syncope;Hypotension, bradycardia and bradypnea;Tachycardia, headache, and vomiting;Cyanosis, hypoesthesia, and bradycardia;Hypotension, bradycardia and bradypnea;Pharmacology II;EN;Set D;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5607;
Indicare l'affermazione corretta relativa all'azione di alcune classi di farmaci sulla sintesi di NO;La digossina inibisce l'isoforma inducibile della NOS;I sartani determinano un aumento della produzione di NO;Gli ACE inibitori inducono un aumento dei livelli di NO;Le fenotiazine riducono l'effetto antiaggregante del NO;I glucocorticoidi favoriscono la sintesi di NO mediante attivazione della iNOS;I sartani determinano un aumento della produzione di NO;Pharmacology II;IT;Set G;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5608;
Quale dei seguenti diuretici è quello più appropriato da usare nel diabete insipido?;Acetazolamide;Idroclorotiazide;Triamterene;Furosemide;Mannitolo;Idroclorotiazide;Pharmacology II;IT;Set G;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5609;
Which of the following is an indication for the use of Cetirizine?;Hyperemesis gravidarum;Narcolepsy;Movement disorders;IgE-mediated allergies;Sedation;IgE-mediated allergies;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5610;
 Which of the following is an indication for the use of Cetirizine? :;Hyperemesis gravidarum;Movement disorders;Narcolepsy;IgE-mediated allergies;Sedation;IgE-mediated allergies;Pharmacology II;EN;Set D;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5611;
The proarrhythmic actions of several drugs, such as some antihistamines and, more recently, cisapride, are due to the blocking of one of the following currents active during cardiac action potential. Indicate which one.;Ito;IKr;Ina;IKs;If;IKr;Pharmacology II;EN;Set E;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5612;
Circa gli impieghi clinici delle benzodiazepine quale delle seguenti affermazioni è esatta?;L'Alprazolam è efficaci e nel trattamento dei disturbi ossessivi compulsivi;I sintomi dello stato di astinenza da alcol possono essere migliorati dal trattamento con zaleplon;Il Clonazepam è efficace in pazienti che soffrono di stati fobici d'ansia;Il diazepam viene usato nel trattamento cronico del disturbo affettivo bipolare nei pazienti che non tollerano il litio;Il buspirone per via endovenosa è utile nello stato epilettico;Il Clonazepam è efficace in pazienti che soffrono di stati fobici d'ansia;Pharmacology II;IT;Set G;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5613;
Una delle seguenti affermazioni relativa all'uso delle benzodiazepine in anestesiologia NON è corretta, indicare quale;Il midazolam causa amnesia in più del 50% dei pazienti;Possono essere utilizzate da sole nelle procedure che non richiedono analgesia (endoscopia, cateterismo cardiaco‚Ä¶) ;Le benzodiazepine hanno maggiore latenza di induzione anestetica rispetto ai barbiturici;Il flumazenil è un antagonista del recettore per le benzodiazepine che a causa della sua prolungata durata di azione può causare iperalgesia al risveglio;Le benzodiazepine possono venire anche utilizzate in premedicazione anestesiologica o come come componenti dell'anestesia bilanciata;Il flumazenil è un antagonista del recettore per le benzodiazepine che a causa della sua prolungata durata di azione può causare iperalgesia al risveglio;Pharmacology II;IT;Set G;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5614;
Tutte le seguenti affermazioni concernenti gli anestetici generali endovenosi sono esatte TRANNE UNA.;Un iperdosaggio di barbiturici per viaendovenosa causa depressione respiratoriae cardiovascolare;Gli anestetici endovenosi di solito riducono il tono della muscolatura liscia e scheletrica;Il gruppo farmacologico include i curarici a breve durata d'azione;Il metabolismo è responsabile della cessazione degli effetti anestetici del tiopentale;La ketamina ha effetto cardiostimolatorio;Il gruppo farmacologico include i curarici a breve durata d'azione;Pharmacology II;IT;Set G;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5615;
Quale delle seguenti affermazioni inerenti i valori di MAC per gli anestetici è corretta? ;L'uso concomitante di analgesici oppioidi aumenta la MAC per gli anestetici inalatori;Le MAC forniscono informazioni sulla pendenza della curva dose- risposta;Il metossiflurano ha valori di MAC estremamente bassi;I valori di MAC aumentano nei pz anziani;Anestetici con bassi valori di MAC hanno scarsa potenza;Il metossiflurano ha valori di MAC estremamente bassi;Pharmacology II;IT;Set G;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5616;
Un agricoltore arriva al pronto soccorso con sintomi di eccitazione del sistema nervoso centrale seguita da convulsioni, broncospasmo, bradicardia, sudorazione profusa, scialorrea, lacrimazione, diarrea, miosi e incontinenza urinaria. I familiari riferiscono che il paziente prima di sviluppare la sintomatologia ha trattato il terreno con un diserbante. Con quali delle seguenti sostanze è venuto a contatto presumibilmente il paziente e quale trattamento è opportuno fare (una sola risposta)?;Il paziente è venuto a contatto con il betanecolo e deve essere trattato con un antagonista colinergico;Il paziente è venuto a contatto con il parathion e deve essere trattato immediatamente con la pralidossima e con l'atropina;Il paziente è venuto a contatto con l'atropina e deve essere trattato con un colinomimetico;Il paziente è venuto a contatto con la nicotina e deve essere trattato con un ganglioplegico;Il paziente è venuto a contatto con la neostigmina e deve essere trattato immediatamente con la pralidossima e con l'atropina;Il paziente è venuto a contatto con il parathion e deve essere trattato immediatamente con la pralidossima e con l'atropina;Pharmacology II;IT;Set G;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5617;
L'emicolinio interferisce con uno dei seguenti meccanismi;Il trasporto del precursore della sintesi di catecolamine attraverso la membrana neuronale;Il trasporto della colina;La liberazione dell'acetilcolina;Il deposito dell'acetilcolina nei granuli;Il reuptake 1 dell'acetilcolina;Il trasporto della colina;Pharmacology II;IT;Set G;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5618;
Quale delle seguenti affermazioni concernenti gli antidepressivi è ERRATA?;La fenelzina e la tranilcipromina riducono il metabolismo della noradrenalina, serotonina e dopamina;L'effetto acuto dell'amitriptilina è dovuto ad una inibizione della ricaptazione neuronale di NE e 5HT nel SNC;Dal punto di vista neurochimico la depressione endogena è caratterizzata da una ridotta attività funzionale di alcune sinapsi noradrenergiche e serotoninergiche;Il trattamento cronico con antidepressivi triciclici comporta un aumento del numero dei recettori beta-adrenergici cerebrali;Citalopram ed escitalopram sono tra i farmaci più frequentemente prescritti nell'anziano;Il trattamento cronico con antidepressivi triciclici comporta un aumento del numero dei recettori beta-adrenergici cerebrali;Pharmacology II;IT;Set G;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5619;
Quale dei seguenti farmaci viene utilizzato per la prevenzione del trattamento delle lesioni da congelamento?;Minoxidil;Timololo;Losartan;Nifedipina;Iloprost;Iloprost;Pharmacology II;IT;Set G;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5620;
Quale dei seguenti farmaci nonè utilizzato nel trattamento della tossicodipendenza da oppioidi:;Buprenorfina;Clonidina;Naloxone;Imipramina;Metadone;Imipramina;Pharmacology II;IT;Set G;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5621;
Which of the following drugs is not used in the treatment of opioid addiction:;Buprenorphine;Clonidine;Naloxone;Imipramine;Methadone;Imipramine;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5622;
Which of the following antidepressants must be AVOIDED in patients with narrow angle glaucoma and major depression?;Citalopram;Imipramine;Mirtazapine;Bupropion;Sertraline;Imipramine;Pharmacology II;EN;Set C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5623;
 Which of the following drugs is not used in the treatment of opioid addiction :;Buprenorphine;Methadone;Clonidine;Naloxone;Imipramine;Imipramine;Pharmacology II;EN;Set D;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5624;
Which of the following antidepressants must be AVOIDED in patients with narrow angle glaucoma and major depression?;Citalopram;Imipramine;Mirtazapine;Bupropion;Sertraline;Imipramine;Pharmacology II;EN;"PDF Collection ""Until 2021""";2021;Unverified;Until 2021;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5625;
Quale delle seguenti affermazioni sul Mepolizumab è esatta ;è un mAb ricombinante verso le IgE umane;Impedisce il legame della citochina con il proprio recettore sugli eosinofili;è utilizzato per il trattamento dell'asma severa in soggetti di età < 12 anni;Non è approvato per i pazienti asmatici con eosinofilia;Si somministra per aerosol come polvere sottile;Impedisce il legame della citochina con il proprio recettore sugli eosinofili;Pharmacology II;IT;Set G;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5626;
Which is the mechanism of Sodium alginate? (x2);Activation of 5-HT4 receptors;Block of PGE2 receptors;Slowly release of negatively charged ions that complex the H<sup>+</sup> ions;In an acid environment, it forms a dense protective gel;Salification of the Magnesium ions resulting in an antiacid effect;In an acid environment, it forms a dense protective gel;Pharmacology II;EN;"PDF Collection ""Until 2021""";2021;Unverified;Until 2021;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5627;
One of the following is NOT a proper use of penicillamine, indicate it:;In cystinuria;In dioxin poisoning;In lead poisoning;As a copper chelator in the treatment of Wilson's disease;In mercury and lead poisoning;In dioxin poisoning;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5628;
One of the following is NOT a proper use of Penicillamine, indicate it :;As a copper chelator in the treatment of Wilson's disease;In dioxin poisoning;In mercury and lead poisoning;In lead poisoning;In cystinuria;In dioxin poisoning;Pharmacology II;EN;Set D;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5629;
SSRIs are much less effective than tricyclic antidepressant;In obsessive compulsive disorder;In premenstrual dysphoric disorder;In the control of bulimia;In migraine prophylaxis;In the generalized anxiety disorder;In migraine prophylaxis;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5630;
Quale tra le seguenti affermazioni sul Vigabatrin è ESATTA?;In un terzo dei pazienti si verificano difetti del campo visivo;Può provocare disordini cutanei rischiosi per la vita;è il farmaco di scelta nelle assenze;è inefficace nelle convulsioni parziali;è stata dimostrata la teratogenicità nell'uomo;In un terzo dei pazienti si verificano difetti del campo visivo;Pharmacology II;IT;Set G;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5631;
Which of the following statements about the cardiovascular effects of triptans is wrong? :;Markedly increase systemic pressure;5-HT2 receptors do not participate significantly in vessel constrictive actions;They cause a vasoconstriction of dilated arteriovenous anastomosis during migraine;Induce strong vasoconstriction on coronary vessels;Increase flow in the middle cerebral arteries and internal carotid arteries by reflex;Increase flow in the middle cerebral arteries and internal carotid arteries by reflex;Pharmacology II;EN;Set D;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5632;
Which of the following statements about benzodiazepines best characterizes them from a pharmacodynamic point of view?;They are considered non-specific depressants of the central nervous system;Increase the opening time of chlorine channels;Increase dopamine activity;Increase serotonin activity;Increase the opening frequency of chlorine channels;Increase the opening frequency of chlorine channels;Pharmacology II;EN;Set C;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5633;
Concomitant administration of antidepressants with other drugs results in all but one of the following adverse events:;Behavioural arousal and hypertension in patients taking MAO inhibitors with Meperidine;Prolongation of the half-life of tricyclic drug if cimetidine is administered;Increased antihypertensive effects of methyldopa when tricyclic agents are taken concomitantly;Additive impairment of driving abilities in patients taking Trazodone when Ethanol is ingested;Elevated plasma levels of lithium in combination with flouxetine;Increased antihypertensive effects of methyldopa when tricyclic agents are taken concomitantly;Pharmacology II;EN;Set E;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5634;
Intraocular pressure is;Increased by hyperventilation;Increased by non-depolarizing muscle relaxants;Decreased by halothane;Decreased by glycopyrrolate;Increased by phenylephrine eye drops;Increased by phenylephrine eye drops;Pharmacology II;EN;Set B;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5635;
Intraocular pressure is (x2);Increased by hyperventilation;Increased by non-depolarizing muscle relaxants;Decreased by halothane;Decreased by glycopyrrolate;Increased by phenylephrine eye drops;Increased by phenylephrine eye drops;Pharmacology II;EN;"PDF Collection ""Until 2021""";2021;Unverified;Until 2021;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5636;
To which phenomenon is attributable Neurogenic inflammation typical of migraine;Increased CGRP release;Reduced CGRP synthesis;Increased degradation of CGRP;Reduced CGRP release;Increased endocytosis of CGRP;Increased CGRP release;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5637;
Indicate which of the following is not a mechanism involved in the release of renin:;Increased circulating levels of thyroid hormones T3/T4;Pressure values variation in preglomerular vessels;Reabsorption of NaCl at the level of the dense macula;Activation of beta-1st level receptors of juxtaglomerular cells;Activation of prostaglandin receptors in juxtaglomerular cells;Increased circulating levels of thyroid hormones T3/T4;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5638;
Indicate which of the following is not an effect of calcium blockers:;Negative inotropic and chronotropic effect;Arteriolar dilation with reduction of BP;Increased coronary vascular resistance;Atrioventricular conduction depression;Automatic suppression of the sinoatrial node;Increased coronary vascular resistance;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5639;
Indicate which of the following is NOT an effect of nitro derivatives: :;"Vasodilation at venous level with a decrease in ventricular end- diastolic pressure and therefore in the ""preload""";Increased elimination of K+ ions;Reduction of blood pressure values;Vasodilation at the coronary level (more evident in patients with variant angina);"Arteriolar vasodilation with reduction of ventricular systolic pressure and therefore of the "" afterload""";Increased elimination of K+ ions;Pharmacology II;EN;Set A;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5640;
Indicate which of the following is NOT an effect of nitro derivatives:;"Vasodilation at venous level with a decrease in ventricular end-diastolic pressure and therefore in the ""preload""";Increased elimination of K+ ions;Reduction of blood pressure values;Vasodilation at the coronary level (more evident in patients with variant angina);"Arteriolar vasodilation with reduction of ventricular systolic pressure and therefore of the ""afterload""";Increased elimination of K+ ions;Pharmacology II;EN;Set D;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-5641;
